日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
20220701,29.755,4.435875,1.0452,135.375,1.21095,0.6797,7.84665,6.7078,16.38805,0.6171
20220704,29.745,4.441375,1.0425,135.345,1.21135,0.68545,7.84685,6.69725,16.3438,0.62325
20220705,29.765,4.442694,1.0353,135.925,1.20665,0.6805,7.84695,6.69975,16.3953,0.6168
20220706,29.81,4.443091,1.0264,135.315,1.1979,0.6813,7.84745,6.7093,16.66475,0.6187
20220707,29.79,4.439365,1.0204,136.085,1.1972,0.6824,7.84835,6.7104,16.7817,0.6182
20220708,29.782,4.441151,1.01055,135.735,1.1947,0.6818,7.84935,6.7059,16.83925,0.6156
20220711,29.818,4.445208,1.0116,136.805,1.19675,0.6807,7.84945,6.7079,16.96215,0.61665
20220712,29.895,4.428316,1.0005,137.215,1.18165,0.6716,7.84985,6.75085,17.1735,0.61025
20220713,29.855,4.438214,1.00325,137.045,1.19035,0.6772,7.8499,6.7268,17.007,0.61365
20220714,29.889,4.427069,1.0028,139.205,1.18515,0.6757,7.84995,6.7514,17.0529,0.6109
20220715,29.946,4.418353,1.0024,138.845,1.1821,0.672,7.84995,6.77765,17.2802,0.6118
20220718,29.914,4.432746,1.0147,137.945,1.19625,0.6836,7.84995,6.7484,17.0182,0.6179
20220719,29.902,4.432224,1.02335,137.795,1.201,0.689,7.84995,6.7465,17.0217,0.6219
20220720,29.896,4.423502,1.0235,138.195,1.20045,0.69095,7.84995,6.75845,17.14635,0.62455
20220721,29.89,4.41015,1.0178,138.495,1.1924,0.6865,7.8492,6.77755,17.25225,0.61945
20220722,29.916,4.415422,1.014,137.665,1.19295,0.6911,7.8497,6.77535,17.03075,0.623
20220725,29.908,4.427521,1.0205,136.335,1.20055,0.6928,7.84925,6.755,16.84235,0.62465
20220726,29.914,4.426404,1.0208,136.585,1.2038,0.6963,7.84895,6.7581,16.7166,0.6258
20220727,29.933,4.427629,1.0139,136.895,1.2059,0.6939,7.84935,6.7605,16.8469,0.62325
20220728,29.928,4.43536,1.0202,135.535,1.2185,0.7,7.84975,6.7476,16.72125,0.6288
20220729,29.938,4.445134,1.02185,132.945,1.21805,0.7008,7.84995,6.735,16.45635,0.63055
20220801,29.98,4.435511,1.0243,132.455,1.221,0.7024,7.84995,6.7591,16.48845,0.63225
20220802,29.996,4.431219,1.0229,130.935,1.21985,0.6923,7.84975,6.76925,16.4644,0.6284
20220803,29.99,4.431772,1.0181,133.195,1.2202,0.6929,7.84995,6.76705,16.69625,0.62545
20220804,29.994,4.435003,1.0184,134.165,1.2171,0.697,7.84975,6.763,16.76085,0.6305
